id,fromUserId,toUserId,senderId,receiverId,status,createdAt,timestamp,updatedAt,conversationId,relationshipRefPath
ZYGXIpU18yaqi4JqSsgA,w3CzPUO9ZqMUy192hagGMOlljio1,gIx1A8LdxZZJqYn8q5pgD9EHZbS2,,,,2026-03-30T23:58:11.873Z,,2026-03-31T00:59:16.237Z,gIx1A8LdxZZJqYn8q5pgD9EHZbS2_w3CzPUO9ZqMUy192hagGMOlljio1,player_relationships/gIx1A8LdxZZJqYn8q5pgD9EHZbS2_w3CzPUO9ZqMUy192hagGMOlljio1
OeRKkFBm5YH7AzGkN6M4,w3CzPUO9ZqMUy192hagGMOlljio1,gIx1A8LdxZZJqYn8q5pgD9EHZbS2,,,,2026-03-30T21:56:17.214Z,,2026-03-30T23:57:45.784Z,gIx1A8LdxZZJqYn8q5pgD9EHZbS2_w3CzPUO9ZqMUy192hagGMOlljio1,player_relationships/gIx1A8LdxZZJqYn8q5pgD9EHZbS2_w3CzPUO9ZqMUy192hagGMOlljio1
lasJneF0RVWzuiT3FpjY,fLQEisnhlRQIMckX6f67qnoE1IB3,GSXEeYz09YOYhT9LivoAnvSq0I32,,,,2026-03-30T09:36:54.195Z,,2026-03-30T09:37:08.800Z,GSXEeYz09YOYhT9LivoAnvSq0I32_fLQEisnhlRQIMckX6f67qnoE1IB3,player_relationships/GSXEeYz09YOYhT9LivoAnvSq0I32_fLQEisnhlRQIMckX6f67qnoE1IB3
NwPKXNEh4yXWPPySKoY7,Vh6Rod3zQMYD52ma6L2f2B8KOmo2,OA9RuYr1EGQBFRbaAwg5zYxXLQs2,,,,2026-03-29T05:12:22.477Z,,2026-03-29T05:12:22.477Z,OA9RuYr1EGQBFRbaAwg5zYxXLQs2_Vh6Rod3zQMYD52ma6L2f2B8KOmo2,player_relationships/OA9RuYr1EGQBFRbaAwg5zYxXLQs2_Vh6Rod3zQMYD52ma6L2f2B8KOmo2
GVwArYabe6y2OWvp82tu,fLQEisnhlRQIMckX6f67qnoE1IB3,Pnlf1NEcejcuRbtGVpoLyO2YFHM2,,,,2026-03-29T00:16:46.955Z,,2026-04-30T07:59:32.906Z,Pnlf1NEcejcuRbtGVpoLyO2YFHM2_fLQEisnhlRQIMckX6f67qnoE1IB3,player_relationships/Pnlf1NEcejcuRbtGVpoLyO2YFHM2_fLQEisnhlRQIMckX6f67qnoE1IB3
C7ngq6baKnmBKhS0o1mm,5xIDexVRYiaSFTLkzdlYY7IzelA2,zf3KzDGK1qharZ8iz8XMueiYmZv1,,,,2026-03-26T12:57:28.833Z,,2026-03-26T13:08:41.870Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_zf3KzDGK1qharZ8iz8XMueiYmZv1,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_zf3KzDGK1qharZ8iz8XMueiYmZv1
WqSTZuHN7fXfepAdlHnW,5xIDexVRYiaSFTLkzdlYY7IzelA2,lRmUpclRnGZ3Tfl7K0ViZdGlSwU2,,,,2026-03-26T12:35:56.794Z,,2026-04-08T00:23:56.456Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_lRmUpclRnGZ3Tfl7K0ViZdGlSwU2,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_lRmUpclRnGZ3Tfl7K0ViZdGlSwU2
J6Vrid9OodgDT8wZ70PO,5xIDexVRYiaSFTLkzdlYY7IzelA2,Cua70mYgfsQezBwLxSELFHTJhjR2,,,,2026-03-26T12:34:38.243Z,,2026-03-26T12:34:38.243Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_Cua70mYgfsQezBwLxSELFHTJhjR2,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_Cua70mYgfsQezBwLxSELFHTJhjR2
eQqdyfqJTLAPMidFXNzp,5xIDexVRYiaSFTLkzdlYY7IzelA2,pyCTP9X0ixVkKScSs6TO3JXZuu03,,,,2026-03-26T10:30:14.154Z,,2026-03-26T10:30:14.154Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_pyCTP9X0ixVkKScSs6TO3JXZuu03,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_pyCTP9X0ixVkKScSs6TO3JXZuu03
LpTbL9vx1FiP26t6FSKr,RDT0ovRdiBWrW2Uv06ECaOc18JV2,6dLaVE6ZSQMi0hXFTm3VY0HOdUz1,,,,2026-03-26T10:05:43.030Z,,2026-03-26T10:05:43.030Z,6dLaVE6ZSQMi0hXFTm3VY0HOdUz1_RDT0ovRdiBWrW2Uv06ECaOc18JV2,player_relationships/6dLaVE6ZSQMi0hXFTm3VY0HOdUz1_RDT0ovRdiBWrW2Uv06ECaOc18JV2
bW1r5kOOQ72QzpNbgxY9,5xIDexVRYiaSFTLkzdlYY7IzelA2,w3CzPUO9ZqMUy192hagGMOlljio1,,,,2026-03-26T07:40:16.752Z,,2026-03-26T10:17:47.057Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_w3CzPUO9ZqMUy192hagGMOlljio1,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_w3CzPUO9ZqMUy192hagGMOlljio1
3Ty27egAXRhtgUghqhHq,5xIDexVRYiaSFTLkzdlYY7IzelA2,TaR8rB8CiNb3iOb4izy4e5hphmw2,,,,2026-03-26T07:27:35.052Z,,2026-03-26T07:27:35.052Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_TaR8rB8CiNb3iOb4izy4e5hphmw2,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_TaR8rB8CiNb3iOb4izy4e5hphmw2
EOW4rEQkVXkO8oGQkCQQ,kq1bSAZaIYWo5zcYVdv29XOyrNL2,pcW8lsr8JzaBsBCkWupDspM7Egs2,,,,2026-03-25T04:18:15.348Z,,2026-03-25T04:19:12.069Z,kq1bSAZaIYWo5zcYVdv29XOyrNL2_pcW8lsr8JzaBsBCkWupDspM7Egs2,player_relationships/kq1bSAZaIYWo5zcYVdv29XOyrNL2_pcW8lsr8JzaBsBCkWupDspM7Egs2
3z9BJ4PMSzFPeO8zhes8,fLQEisnhlRQIMckX6f67qnoE1IB3,Pnlf1NEcejcuRbtGVpoLyO2YFHM2,,,,2026-03-24T04:13:24.446Z,,2026-03-28T01:36:21.799Z,Pnlf1NEcejcuRbtGVpoLyO2YFHM2_fLQEisnhlRQIMckX6f67qnoE1IB3,player_relationships/Pnlf1NEcejcuRbtGVpoLyO2YFHM2_fLQEisnhlRQIMckX6f67qnoE1IB3
kGoCnnYbgatowqdLj7dg,fLQEisnhlRQIMckX6f67qnoE1IB3,Pnlf1NEcejcuRbtGVpoLyO2YFHM2,,,,2026-03-24T04:12:28.883Z,,2026-03-24T04:12:43.807Z,Pnlf1NEcejcuRbtGVpoLyO2YFHM2_fLQEisnhlRQIMckX6f67qnoE1IB3,player_relationships/Pnlf1NEcejcuRbtGVpoLyO2YFHM2_fLQEisnhlRQIMckX6f67qnoE1IB3
VCeIsAvCS2kIPeIyqfoP,5xIDexVRYiaSFTLkzdlYY7IzelA2,uwpfsRJz2cQX8MEPdSts3A8Dkxm2,,,,2026-03-21T05:50:14.714Z,,2026-03-21T05:50:39.650Z,5xIDexVRYiaSFTLkzdlYY7IzelA2_uwpfsRJz2cQX8MEPdSts3A8Dkxm2,player_relationships/5xIDexVRYiaSFTLkzdlYY7IzelA2_uwpfsRJz2cQX8MEPdSts3A8Dkxm2
