address,name,lat,lng,postcode,suburb,url
"119 Station Rd, Deer Park VIC 3023",Deer Park Tennis Club,-37.76206766,144.7759887,3023,Deer Park,https://play.tennis.com.au/deerparktennisclub/Booking/
"Green Gully Reserve, Clubhouse Pl, Keilor Downs VIC 3038",Green Gully Tennis Club,-37.72084955,144.8192911,3038,Keilor Downs,https://play.tennis.com.au/GreenGullyTennisClub
"61 Goldsmith Ave, Delahey VIC 3037",Delahey Tennis Club,-37.71556352,144.7730484,3037,Delahey,https://play.tennis.com.au/delaheyrecreationclub/Booking/
"Corner Morris St and Esplanade, Williamstown VIC 3016",Williamstown Tennis Club,-37.86766774,144.9028339,3016,Williamstown,https://play.tennis.com.au/WilliamstownTennisClub/booking/
"1 Fresno St, Altona VIC 3018",Altona Tennis Club,-37.85912426,144.832701,3018,Altona,https://play.tennis.com.au/AltonaTennisClub/Booking/
"Cypress Ave, Brooklyn VIC 3012",Brooklyn Tennis Club,-37.82033759,144.8468524,3012,Brooklyn,https://play.tennis.com.au/BrooklynTennisClub/Booking/
"Merton St, Altona Meadows VIC 3028",Laverton Park Tennis Club,-37.86076732,144.7790087,3028,Altona Meadows,https://www.lptc.org.au/book-a-court
"61 Selwyn St, Albion VIC 3020",Albion Tennis Club,-37.78024324,144.8135689,3020,Albion,https://play.tennis.com.au/albiontennisclub/Booking/
"LEISURE CENTRE, 9/19 The Parade, Caroline Springs VIC 3023",Caroline Springs Tennis Club,-37.7316624,144.7392174,3023,Caroline Springs,https://play.tennis.com.au/CarolineSpringsTennisCentre/Booking/
"151P Albert Street, Preston VIC 3072",Cranross Tennis Club,-37.73291642,145.0241402,3072,Preston,https://play.tennis.com.au/cranrosstennisclub/Booking/
"27 Aberdeen Rd, Macleod VIC 3085",Macleod Tennis Club,-37.72576911,145.0675349,3085,Macleod,https://play.tennis.com.au/MacleodTennisClub/Booking/
"Plymouth St, Heidelberg VIC 3084",Banyule Tennis Club,-37.74871158,145.0807528,3084,Heidelberg,https://play.tennis.com.au/banyuletennisclub/Booking/
"54 Yarra St, Heidelberg VIC 3084",St John's Catholic Tennis Club,-37.75595708,145.0654326,3084,Heidelberg,https://play.tennis.com.au/stjohnscatholictennisclub/
"130 The Blvd, Ivanhoe VIC 3079",Chelsworth Park Tennis Club,-37.77180875,145.0494269,3079,Ivanhoe,https://play.tennis.com.au/chelsworthparktennisclub/
"The Boulevard East, Ivanhoe VIC 3079",Eaglemont Tennis Club,-37.77601505,145.0631598,3079,Ivanhoe,https://play.tennis.com.au/eaglemonttennisclub/Booking
"Adeney Ave, Kew VIC 3101",Kew Tennis Club,-37.80053571,145.0482922,3101,Kew,https://play.tennis.com.au/kewtennisclub/Booking/
"206A Whitehorse Rd, Balwyn VIC 3103",Balwyn Park Tennis Club,-37.81057225,145.078333,3103,Balwyn,https://play.tennis.com.au/BalwynParkTennisClub/Booking/
"1C Browning St, Kingsbury VIC 3083",Kingsbury Tennis Club,-37.71699452,145.0373781,3083,Kingsbury,https://play.tennis.com.au/kingsburytennisclub/Booking/
"62 Elder St, Watsonia VIC 3087",Watsonia Tennis Club,-37.7084734,145.0903671,3087,Watsonia,https://play.tennis.com.au/WatsoniaTennisClub/Booking/
"2A Moola Cl, Yallambie VIC 3085",Yallambie Tennis Club,-37.72259598,145.10616,3085,Yallambie,https://play.tennis.com.au/yallambietennisclub/Booking/
"96 Rutherford Rd, Viewbank VIC 3084",Viewbank Tennis Club,-37.73807341,145.0941437,3084,Viewbank,https://play.tennis.com.au/viewbanktennisclub/booking/
"12 Turnham Ave, Rosanna VIC 3084",Rosanna Tennis Club,-37.74268885,145.0677078,3084,Rosanna,https://play.tennis.com.au/RosannaTennisClub/Booking/
"284 Thompsons Rd, Templestowe Lower VIC 3107",Bullen Tennis Club,-37.76141919,145.1047867,3107,Templestowe Lower,https://play.tennis.com.au/bulleentennisclub/Booking/
"802 Doncaster Rd, Doncaster VIC 3109",Doncaster Tennis Club,-37.78258691,145.1401489,3109,Doncaster,https://play.tennis.com.au/doncastertennisclub/Booking/
"Robert St & Frank Street, North Balwyn VIC 3104",Greythorn Park Tennis Club,-37.794525,145.0941437,3104,North Balwyn,https://play.tennis.com.au/greythornparktennisclub/Booking/
"57A Buchanan Ave, Balwyn North VIC 3104",North Balwyb Tennis Club,-37.79045541,145.0776642,3104,North Balwyn,https://play.tennis.com.au/northbalwyntennisclub/Booking/
"25A Croydon Rd, Surrey Hills VIC 3127",Canterbury Tennis Club,-37.81703933,145.0883072,3127,Surrey Hills,https://canterburytc.com.au/
"Old Yarra Rd, Wonga Park VIC 3115",Wonga Park Tennis Club,-37.73426685,145.2716528,3115,Wonga Park,https://play.tennis.com.au/wongaparktennisclub/Booking/
"Croydon Park, Hewish Rd, Croydon VIC 3136",Croydon Tennis Club,-37.79343442,145.2819525,3136,Croydon,https://play.tennis.com.au/CroydonTennisClub/Booking/
"40 Gracedale Ave, Ringwood East VIC 3135",Grace Park Tennis Club - Ringwood East,-37.81567786,145.2623831,3135,Ringwood East,https://play.tennis.com.au/gracedaleparktennisclub/
